Reference,Publication year
\citet{Chanut2005},2005
\citet{LILJEROS2007},2007
\citet{Minerba2008},2008
\citet{Iwashyna2009},2009
\citet{Iwashyna2009a},2009
\citet{Donker2010},2010
\citet{Gray2010},2010
\citet{Barnett2011},2011
\citet{Lee2011},2011
\citet{Lee2011a},2011
\citet{Pallotti2011},2011
\citet{Siden2011},2011
\citet{Uddin2011},2011
\citet{Abbasi2012},2012
\citet{Landon2012},2012
\citet{Mascia2012},2012
\citet{Uddin2012},2012
\citet{Pallotti2013},2013
\citet{Pollack2013},2013
\citet{Uddin2013},2013
\citet{Heer2014},2014
\citet{Mandl2014},2014
\citet{Tighe2014},2014
\citet{Uddin2014},2014
\citet{Mascia2015},2015
\citet{Merrill2015},2015
\citet{Soulakis2015},2015
\citet{Uddin2015b},2015
\citet{Uddin2015},2015
\citet{Uddin2015a},2015
\citet{Uddin2016a},2016
\citet{Uddin2016},2016
\citet{Bean2017},2017
\citet{An2018},2018
\citet{An2018a},2018
\citet{Uddin2018},2018
\citet{An2019},2019
\citet{Park2019},2019
\citet{Dong2020},2020
\citet{Veiga2020},2020
\citet{Geissler2020},2020
\citet{Chen2021},2021
\citet{Gebhart2021},2021
\citet{Lu2021},2021
\citet{Tanhapour2022},2022
\citet{Ben-Tovim2022a},2022
\citet{Durojaiye2022},2022
\citet{Everson2022},2022
\citet{Karim2022},2022
\citet{Kesternich2022},2022
\citet{Kohler2022},2022
\citet{Reychav2022},2022
